adaptation_rate,choke_prob,cover_prob,max_ticks,n_agents,objective_controller,objective_progress,objective_radius,seed,stochasticity,ticks,wall_prob,weapon_cooldown_ticks
0.0009246427050353276,0.084664482961822,0.11881902582376287,200,30,0.0,1.0,4,1067,0.42937221860410824,200.0,0.06153171357109146,2
0.06100303549073587,0.043433694526756994,0.17163689281614902,200,30,0.0,0.0,10,1064,0.027164992463454458,200.0,0.20891503112788284,3
0.009370878757007211,0.07166773341030902,0.028396585135813498,200,30,1.0,0.0,11,1062,0.04793931175037093,200.0,0.19173867598927086,2
0.18270512714030512,0.07655469377627554,0.11393685656644632,200,30,0.0,0.23999999999999985,5,1066,0.4843272692887767,200.0,0.0937939785626492,3
0.19535559977416642,0.08480948507354577,0.1321414781268336,200,30,0.0,0.0,5,1068,0.36907934479465837,200.0,0.2100612337321173,3
0.1789758417623321,0.04626205618362175,0.19199206645827954,200,30,1.0,0.5799999999999996,7,1065,0.03907021525917534,200.0,0.15389396163895494,1
0.1385530965092699,0.009259326018051744,0.10496298835203122,200,30,0.0,0.1599999999999999,6,1069,0.12638257811277995,200.0,0.0207818625906647,3
0.008469456200484437,0.04698457497825112,0.019606711002675872,200,30,0.0,1.0,5,1075,0.11684920647916484,200.0,0.21480039976940887,2
0.17594295982069766,0.0731827479694289,0.017887692166619635,200,30,1.0,0.0,10,1071,0.3831775692646996,200.0,0.24316750108783722,3
0.05592385815317733,0.06017016522984382,0.15510264034820992,200,30,0.0,0.0,9,1074,0.42743017311672954,200.0,0.056502255832948114,3
0.10730624700018786,0.08939454410162899,0.08232703329323632,200,30,1.0,0.0,9,1073,0.08030731581691085,200.0,0.0006535817824983824,3
0.037830859074506146,0.012801645005964979,0.05326615199517586,200,30,1.0,1.0,5,1072,0.4508807443539573,200.0,0.16138431905118442,2
0.10920060798338807,0.08801562688096833,0.07742095609444193,200,30,1.0,0.0,11,1070,0.11942393384895589,200.0,0.06536881208426454,2
0.07955144740940642,0.023314863421219297,0.04078536474705838,200,30,0.0,1.0,6,1078,0.30444331198558605,200.0,0.20561838645752423,1
0.09150421127814126,0.028540505827816788,0.0732495843263942,200,30,0.0,0.4399999999999994,8,1079,0.14158072117762824,200.0,0.21964619412372954,3
0.033432421631197494,0.034044184537675236,0.08863756528878097,200,30,1.0,0.0,10,1076,0.0013776200137257796,200.0,0.18871340032822218,2
0.16609126236065597,0.05990177814328871,0.10301654627443158,200,30,1.0,0.0,7,1080,0.3354121650045853,200.0,0.19530985279683702,3
0.14698225082309188,0.05140697049292925,0.08608943178343824,200,30,0.0,1.0,6,1077,0.029350028477374092,200.0,0.1366027182547538,2
0.11870432836070194,0.015210989748527024,0.0005692071573759502,200,30,1.0,0.7599999999999998,7,1088,0.18110522785386693,200.0,0.21143298237106628,3
0.04993660589949606,0.03469949888541818,0.04450069281268573,200,30,1.0,0.0,10,1082,0.45510298088903467,200.0,0.19019605107576126,3
0.02681641585286232,0.04507306763552162,0.051076574312810624,200,30,0.0,0.0,11,1081,0.2531808053167655,200.0,0.11039671733449927,1
0.18005780320877773,0.06385843894519534,0.06944545001035922,200,30,0.0,1.0,4,1083,0.1486422936361539,200.0,0.15488507518659336,2
0.1439702989811403,0.037353225285891495,0.030259725969538933,200,30,0.0,0.31999999999999973,8,1085,0.16458358658644506,200.0,0.19125592609453312,1
0.1081400964191043,0.04479309845362393,0.12972676359426183,200,30,1.0,0.4399999999999996,4,1084,0.15996305232671523,200.0,0.21590186665461816,1
0.06532521506249767,0.0685925550254549,0.12369011557838333,200,30,1.0,0.0,10,1089,0.4965410776120192,200.0,0.2172670189673623,3
0.024504133842818375,0.0050619407752406954,0.07637117677878646,200,30,0.0,0.8999999999999999,5,1090,0.4699656069747908,200.0,0.08515481693401901,2
0.01631380413534241,0.011214983399256463,0.10058935281956588,200,30,0.0,0.8999999999999999,8,1086,0.1114499592807279,200.0,0.009811279902300855,2
0.003887861470571029,0.0453358879912545,0.12243908508890188,200,30,0.0,1.0,5,1091,0.3759559813229331,200.0,0.12326261137763206,2
0.19652935885446915,0.020385578892243645,0.1814671239395671,200,30,0.0,0.0,10,1087,0.2128537991908173,200.0,0.12859971630738795,1
0.10038904425436855,0.020183386142874068,0.019024246242318407,200,30,0.0,1.0,4,1093,0.19990643496683436,200.0,0.11858035915247497,2
0.08638865939220336,0.023485732031390365,0.17190011695445817,200,30,0.0,1.0,4,1092,0.34857381621149636,200.0,0.18723814630742147,1
0.11202610854060727,0.05280318440748112,0.1525417835800856,200,30,0.0,1.0,3,1095,0.47744371773331995,200.0,0.12922648975493883,2
0.015402415020874832,0.0535760399089,0.18271728938699128,200,30,1.0,0.0,8,1096,0.0722141501358199,200.0,0.16704885279244064,3
0.11125439631611223,0.06642274759149218,0.1072382307197452,200,30,0.0,0.0,8,1094,0.05245474573059785,200.0,0.0703177394270983,2
0.1939554118084087,0.04183170707947919,0.15977816035092082,200,30,0.0,1.0,6,1097,0.34373006163420977,200.0,0.22180855386661838,2
0.03025452289918279,0.07894980848067282,0.161627430874965,200,30,0.0,0.23999999999999957,7,1098,0.41859827712760483,200.0,0.18422346876388962,1
0.08946027731253386,0.022985506230347272,0.06538904433542951,200,30,0.0,1.0,9,1103,0.4320994634011888,200.0,0.06709608708953815,1
0.08164390582751703,0.00015483737870770873,0.116308869025119,200,30,1.0,0.0,10,1100,0.2243405817741295,200.0,0.17000361950080214,2
0.1341961131661584,0.03224910808015595,0.08049130521168744,200,30,0.0,1.0,5,1102,0.024139794204195895,200.0,0.17918760868541528,2
0.08406746744676173,0.030178440197382646,0.14766330698532723,200,30,1.0,0.0,9,1104,0.33142719977142776,200.0,0.07028530023482386,3
0.012234742312206478,0.039936868304373256,0.19308875396979563,200,30,0.0,0.0,10,1101,0.18917647169920068,200.0,0.1467779974236012,2
0.1171329435324078,0.0723369357099998,0.15421988739469455,200,30,0.0,1.0,4,1106,0.3093828313940573,200.0,0.2182800260526231,3
0.08733640383325425,0.06172478536827889,0.010517988323781821,200,30,0.0,1.0,3,1105,0.44390632780701994,200.0,0.08689563763120496,1
0.13952371248322815,0.09270841371387877,0.15681308379047862,200,30,1.0,0.9599999999999995,9,1099,0.18711262223554515,200.0,0.044872320377347494,2
0.10573808342180822,0.0004527499739438053,0.07222821488082524,200,30,1.0,0.13999999999999937,6,1110,0.10552413864066575,200.0,0.043882093410518686,3
0.06837327020836037,0.01865578124372405,0.025733157792196433,200,30,1.0,0.0,10,1107,0.43486253298044136,200.0,0.007935608532011626,2
0.17402195858786912,0.02459257785708886,0.1394396993376254,200,30,1.0,0.0,5,1111,0.4729560679502351,200.0,0.19542061075160813,3
0.0987832308626226,0.09600796734838923,0.0772451658528184,200,30,0.0,0.0,9,1108,0.3500581965945916,200.0,0.0047774542565463905,2
0.12580244482475236,0.07732791381799442,0.10861393007934604,200,30,1.0,1.0,4,1109,0.11777696403065079,200.0,0.09219181295891947,1
0.130655754700961,0.04233791200506305,0.003535767977296978,200,30,0.0,1.0,8,1112,0.46611926466291126,200.0,0.19331372345052297,2
0.06092870515612725,0.07024857327008646,0.057852598046898664,200,30,0.0,1.0,3,1114,0.20124324980720087,200.0,0.11597018479799184,1
0.1300032553417248,0.09544792705693311,0.13303507809226997,200,30,1.0,1.0,4,1116,0.1324146022298951,200.0,0.1635119248725487,3
0.1038826604130506,0.05894605899366308,0.006799485187398315,200,30,1.0,0.0,8,1115,0.3999207146161063,200.0,0.025354868552178878,2
0.021643768285503844,0.08677473297869477,0.017118055880380862,200,30,0.0,0.0,10,1119,0.3522926882572265,200.0,0.19866066869802862,2
0.014471363565892126,0.08891128152471837,0.09985406096351698,200,30,1.0,0.7999999999999998,4,1118,0.2819828251809073,200.0,0.02212910179051567,3
0.09498401817500468,0.02219379708345591,0.09104437738539475,200,30,0.0,1.0,3,1113,0.4478256532430718,200.0,0.034376950524427616,1
0.06293787653373288,0.02839505674281173,0.029439521488973764,200,30,1.0,1.0,9,1117,0.3810264172384072,200.0,0.24959232908582224,2
0.022859778069998424,0.09716217522318599,0.02241442968873503,200,30,1.0,0.11999999999999929,5,1125,0.26760651410500136,200.0,0.16279540414416177,3
0.11896049396634663,0.006380293951033563,0.16328112068191739,200,30,1.0,0.5599999999999995,9,1120,0.2810115483408304,200.0,0.11936418064635941,2
0.18451637597640916,0.0012119233648142085,0.10320657197289743,200,30,0.0,1.0,3,1123,0.48686611347860337,200.0,0.07179858617424564,1
0.17786886179254735,0.030782390819649105,0.1681535452983801,200,30,1.0,1.0,4,1126,0.353713394621598,200.0,0.23217127012102587,2
